Sensitive Activities,Background Size,Confidence Privacy
"('O_Sent (online only)', 'W_Assess potential fraud', 'W_Personal Loan collection')",3,1095313.2117188305
"('O_Sent (online only)', 'W_Assess potential fraud', 'W_Personal Loan collection')",4,737050.6179735227
"('O_Sent (online only)', 'W_Shortened completion ', 'A_Denied')",1,685.0032058316789
"('O_Sent (online only)', 'W_Shortened completion ', 'A_Denied')",2,668.1808708496998
"('O_Sent (online only)', 'W_Shortened completion ', 'A_Denied')",3,537.2345134823481
"('O_Sent (online only)', 'W_Shortened completion ', 'A_Denied')",4,412.9466124506659
"('O_Sent (online only)', 'W_Shortened completion ', 'W_Personal Loan collection')",1,1515827.4918359676
"('O_Sent (online only)', 'W_Shortened completion ', 'W_Personal Loan collection')",2,1459919.2583308707
"('O_Sent (online only)', 'W_Shortened completion ', 'W_Personal Loan collection')",3,1092565.451511313
"('O_Sent (online only)', 'W_Shortened completion ', 'W_Personal Loan collection')",4,729801.4431510415
"('O_Sent (online only)', 'A_Denied', 'W_Personal Loan collection')",1,1492955.7163611844
"('O_Sent (online only)', 'A_Denied', 'W_Personal Loan collection')",2,1420188.8026185217
"('O_Sent (online only)', 'A_Denied', 'W_Personal Loan collection')",3,1044985.1978617917
"('O_Sent (online only)', 'A_Denied', 'W_Personal Loan collection')",4,684216.3272756088
"('O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ')",1,714.2129144270511
"('O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ')",2,698.3866907745023
"('O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ')",3,562.2793668322302
"('O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ')",4,431.88644464615976
"('O_Refused', 'W_Assess potential fraud', 'A_Denied')",1,35.142918427982586
"('O_Refused', 'W_Assess potential fraud', 'A_Denied')",2,35.96330014846304
"('O_Refused', 'W_Assess potential fraud', 'A_Denied')",3,28.833268767243492
"('O_Refused', 'W_Assess potential fraud', 'A_Denied')",4,20.77459844485667
"('O_Refused', 'W_Assess potential fraud', 'W_Personal Loan collection')",1,1492981.0724186362
"('O_Refused', 'W_Assess potential fraud', 'W_Personal Loan collection')",2,1414926.7331977922
"('O_Refused', 'W_Assess potential fraud', 'W_Personal Loan collection')",3,1034145.7344430529
"('O_Refused', 'W_Assess potential fraud', 'W_Personal Loan collection')",4,670788.9542921007
"('O_Refused', 'W_Shortened completion ', 'A_Denied')",1,684.5886832712848
"('O_Refused', 'W_Shortened completion ', 'A_Denied')",2,662.8923299816666
"('O_Refused', 'W_Shortened completion ', 'A_Denied')",3,525.3113349721407
"('O_Refused', 'W_Shortened completion ', 'A_Denied')",4,395.1439284999
"('O_Refused', 'W_Shortened completion ', 'W_Personal Loan collection')",1,1493885.0520864585
"('O_Refused', 'W_Shortened completion ', 'W_Personal Loan collection')",2,1415814.3703643363
"('O_Refused', 'W_Shortened completion ', 'W_Personal Loan collection')",3,1032188.914925991
"('O_Refused', 'W_Shortened completion ', 'W_Personal Loan collection')",4,665667.9856002415
"('O_Refused', 'A_Denied', 'W_Personal Loan collection')",1,1471012.5884771936
"('O_Refused', 'A_Denied', 'W_Personal Loan collection')",2,1378691.5304236247
"('O_Refused', 'A_Denied', 'W_Personal Loan collection')",3,988089.6401247749
"('O_Refused', 'A_Denied', 'W_Personal Loan collection')",4,623467.4581139339
"('W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied')",1,714.197524622717
"('W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied')",2,698.3728627802312
"('W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied')",3,562.2692121577477
"('W_Assess potential fraud', 'W_Shortened completion ', 'A_Denied')",4,431.8794367437262
"('W_Assess potential fraud', 'W_Shortened completion ', 'W_Personal Loan collection')",1,1515587.5152800085
"('W_Assess potential fraud', 'W_Shortened completion ', 'W_Personal Loan collection')",2,1459627.2924374563
"('W_Assess potential fraud', 'W_Shortened completion ', 'W_Personal Loan collection')",3,1092283.797223027
"('W_Assess potential fraud', 'W_Shortened completion ', 'W_Personal Loan collection')",4,729555.1801913186
"('W_Assess potential fraud', 'A_Denied', 'W_Personal Loan collection')",1,1492720.493660471
"('W_Assess potential fraud', 'A_Denied', 'W_Personal Loan collection')",2,1414670.0339486937
"('W_Assess potential fraud', 'A_Denied', 'W_Personal Loan collection')",3,1033942.860426318
"('W_Assess potential fraud', 'A_Denied', 'W_Personal Loan collection')",4,670641.2242855048
"('W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",1,1493624.4733282933
"('W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",2,1415557.6711449628
"('W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",3,1031986.5630315975
"('W_Shortened completion ', 'A_Denied', 'W_Personal Loan collection')",4,665521.4986092511
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud', 'W_Shortened completion ')",1,746.6773540469807
