Sensitive Activity,Background Size,Function,Background Odds,Percentage,Absolute,Confidence Privacy
O_Sent (online only),4,basic,True,True,False,0.08352644632570626
O_Sent (online only),4,basic,True,False,True,0.0054279712393314064
O_Sent (online only),4,basic,True,False,False,0.00477157648247359
O_Sent (online only),4,basic,False,True,True,0.7709040393618719
O_Sent (online only),4,basic,False,True,False,0.49204146027338047
O_Sent (online only),4,basic,False,False,True,0.04403907679873475
O_Sent (online only),4,basic,False,False,False,0.028108623837382277
O_Sent (online only),4,quadratic,True,True,True,0.026570198270745488
O_Sent (online only),4,quadratic,True,True,False,0.02540231265088418
O_Sent (online only),4,quadratic,True,False,True,8.671027528102951e-05
O_Sent (online only),4,quadratic,True,False,False,8.289894942779293e-05
O_Sent (online only),4,quadratic,False,True,True,1.1365428530475032
O_Sent (online only),4,quadratic,False,True,False,0.9229613281197718
O_Sent (online only),4,quadratic,False,False,True,0.003709040581941652
O_Sent (online only),4,quadratic,False,False,False,0.0030120298696875666
O_Sent (online only),4,cubic,True,True,True,0.009683025254989087
O_Sent (online only),4,cubic,True,True,False,0.009529733172723423
O_Sent (online only),4,cubic,True,False,True,1.8051974828231317e-06
O_Sent (online only),4,cubic,True,False,False,1.776619381067079e-06
O_Sent (online only),4,cubic,False,True,True,2.605910042786761
O_Sent (online only),4,cubic,False,True,False,2.424009649877969
O_Sent (online only),4,cubic,False,False,True,0.00048581740993378244
O_Sent (online only),4,cubic,False,False,False,0.0004519058871651879
W_Assess potential fraud,1,basic,True,True,True,0.10949966519074072
W_Assess potential fraud,1,basic,True,True,False,0.07492273934619968
W_Assess potential fraud,1,basic,True,False,True,0.0010529816418418372
W_Assess potential fraud,1,basic,True,False,False,0.0007204795462216669
W_Assess potential fraud,1,basic,False,True,True,2.519747776617953
W_Assess potential fraud,1,basic,False,True,False,2.4041481241100957
W_Assess potential fraud,1,basic,False,False,True,0.02423065080818939
W_Assess potential fraud,1,basic,False,False,False,0.023119009857671107
W_Assess potential fraud,1,quadratic,True,True,True,0.028921059346938126
W_Assess potential fraud,1,quadratic,True,True,False,0.021541364504883295
W_Assess potential fraud,1,quadratic,True,False,True,2.674423706438067e-06
W_Assess potential fraud,1,quadratic,True,False,False,1.991999504920716e-06
W_Assess potential fraud,1,quadratic,False,True,True,105.18113741126393
W_Assess potential fraud,1,quadratic,False,True,False,105.10253734575535
W_Assess potential fraud,1,quadratic,False,False,True,0.009726439270025745
W_Assess potential fraud,1,quadratic,False,False,False,0.009719170868270401
W_Assess potential fraud,1,cubic,True,True,True,0.009277229048414678
W_Assess potential fraud,1,cubic,True,True,False,0.0076774728369343745
W_Assess potential fraud,1,cubic,True,False,True,8.249778800355043e-09
W_Assess potential fraud,1,cubic,True,False,False,6.8271950945596396e-09
W_Assess potential fraud,1,cubic,False,True,True,5308.446743284301
W_Assess potential fraud,1,cubic,False,True,False,5308.385264376558
W_Assess potential fraud,1,cubic,False,False,True,0.0047205379081423195
W_Assess potential fraud,1,cubic,False,False,False,0.004720483238004597
W_Assess potential fraud,2,basic,True,True,True,0.1245441084620697
W_Assess potential fraud,2,basic,True,True,False,0.08745913974986311
W_Assess potential fraud,2,basic,True,False,True,0.0011976535232475505
W_Assess potential fraud,2,basic,True,False,False,0.0008410333347363777
W_Assess potential fraud,2,basic,False,True,True,4.307679128812241
W_Assess potential fraud,2,basic,False,True,False,4.12909353382961
W_Assess potential fraud,2,basic,False,False,True,0.04142393525754891
W_Assess potential fraud,2,basic,False,False,False,0.03970660258181384
W_Assess potential fraud,2,quadratic,True,True,True,0.03203779551438177
W_Assess potential fraud,2,quadratic,True,True,False,0.024634733867374133
W_Assess potential fraud,2,quadratic,True,False,True,2.9626383597442126e-06
W_Assess potential fraud,2,quadratic,True,False,False,2.2780533543517396e-06
W_Assess potential fraud,2,quadratic,False,True,True,257.5449457400995
W_Assess potential fraud,2,quadratic,False,True,False,257.41028255174405
W_Assess potential fraud,2,quadratic,False,False,True,0.02381601241150769
W_Assess potential fraud,2,quadratic,False,False,False,0.023803559671827502
W_Assess potential fraud,2,cubic,True,True,True,0.010060493896308339
W_Assess potential fraud,2,cubic,True,True,False,0.008515860070470033
W_Assess potential fraud,2,cubic,True,False,True,8.946297308574981e-09
W_Assess potential fraud,2,cubic,True,False,False,7.572731201258727e-09
W_Assess potential fraud,2,cubic,False,True,True,20704.253020148393
W_Assess potential fraud,2,cubic,False,True,False,20704.13715490647
W_Assess potential fraud,2,cubic,False,False,True,0.018411263401111634
W_Assess potential fraud,2,cubic,False,False,False,0.018411160367909435
W_Assess potential fraud,3,basic,True,True,True,0.11041080961562538
W_Assess potential fraud,3,basic,True,True,False,0.07953687700469754
