Sensitive Activity,Background Size,Function,Background Odds,Percentage,Absolute,Confidence Privacy
Release A,3,cubic,True,True,True,0.0010418555083315441
Release A,3,cubic,True,True,False,0.0010300470742965774
Release A,3,cubic,True,False,True,0.00027189871524614407
Release A,3,cubic,True,False,False,0.0002688170038019941
Release A,3,cubic,False,True,True,0.5748771965648254
Release A,3,cubic,False,True,False,0.0160536671526433
Release A,3,cubic,False,False,True,0.15002883789576243
Release A,3,cubic,False,False,False,0.00418961308827087
Release A,4,basic,True,True,True,0.0414682797469682
Release A,4,basic,True,True,False,0.032252773031461505
Release A,4,basic,True,False,True,0.026500205438300787
Release A,4,basic,True,False,False,0.02061105781343875
Release A,4,basic,False,True,True,0.7562266710011155
Release A,4,basic,False,True,False,0.10879077356521855
Release A,4,basic,False,False,True,0.4832648535635744
Release A,4,basic,False,False,False,0.06952248482120157
Release A,4,quadratic,True,True,True,0.00475248311259915
Release A,4,quadratic,True,True,False,0.004494593118994872
Release A,4,quadratic,True,False,True,0.0019408278903399084
Release A,4,quadratic,True,False,False,0.0018355102952284498
Release A,4,quadratic,False,True,True,0.6872282666522415
Release A,4,quadratic,False,True,False,0.039792369216344395
Release A,4,quadratic,False,False,True,0.2806515573748524
Release A,4,quadratic,False,False,False,0.016250481730917102
Release A,4,cubic,True,True,True,0.0007604182628403313
Release A,4,cubic,True,True,False,0.0007511288052583593
Release A,4,cubic,True,False,True,0.00019845050207307336
Release A,4,cubic,True,False,False,0.00019602618165467134
Release A,4,cubic,False,True,True,0.6633736507517728
Release A,4,cubic,False,True,False,0.015937753315876043
Release A,4,cubic,False,False,True,0.17312424028587536
Release A,4,cubic,False,False,False,0.004159362421989192
Release B,1,basic,True,True,True,0.09561904761904759
Release B,1,basic,True,True,False,0.030857142857142826
Release B,1,basic,True,False,True,0.0050996825396825395
Release B,1,basic,True,False,False,0.0016457142857142842
Release B,1,basic,False,True,True,0.44200890187041836
Release B,1,basic,False,True,False,0.10867556853708504
Release B,1,basic,False,False,True,0.023573808099755646
Release B,1,basic,False,False,False,0.005796030321977869
Release B,1,quadratic,True,True,True,0.035412267573696136
Release B,1,quadratic,True,True,False,0.0028853439153439125
Release B,1,quadratic,True,False,True,0.00010072822776518017
Release B,1,quadratic,True,False,False,8.207200470311571e-06
Release B,1,quadratic,False,True,True,0.43480439845562235
Release B,1,quadratic,False,True,False,0.10147106512228901
